"","case_order","uid","state","county","zip","lat","lng","area","time_zone","children","age","income","marital","gender","churn","outage_sec_perweek","email","contacts","yearly_equip_failure","techie","contract","port_modem","tablet","internet_service","phone","multiple","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","paperless_billing","payment_method","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8"
"3228",3589,"Other","WA","Clark",98601,45.9563,-122.3612,"Suburban","America/Los_Angeles",1,26,43656.7,"Never Married","Male","No",7.144546,8,0,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","No","No","No","No","No","No","Credit Card (automatic)",3.895605,112.4551,506.5377808,3,2,4,3,2,3,3,3
"3229",3590,"Other","AL","Other",35149,33.24802,-86.1969,"Suburban","America/Chicago",3,19,38742.66,"Separated","Male","Yes",11.66628,10,2,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Credit Card (automatic)",2.840185,214.9663,915.3457897,2,2,2,3,3,3,5,3
"3230",3591,"Other","MN","Other",56139,44.10293,-96.17726,"Urban","America/Chicago",1,37,53940.16,"Never Married","Male","No",12.71615,10,3,0,"No","Two Year","Yes","No","None","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Credit Card (automatic)",5.63355,152.509,1005.757327,5,5,5,2,5,4,4,4
"3231",3592,"Other","NC","Other",28583,35.13707,-76.74056,"Suburban","America/New_York",1,39,33917.44,"Separated","Female","No",10.55797,10,0,1,"Yes","Month-to-month","No","Yes","Fiber Optic","Yes","No","Yes","No","No","No","No","Yes","Yes","Bank Transfer(automatic)",2.021619,149.9598,462.9626012,4,4,4,5,3,3,3,4
"3232",3593,"Other","CA","Other",95975,39.22438,-121.1516,"Rural","America/Los_Angeles",7,81,35820.71,"Separated","Male","Yes",7.873264,11,0,2,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Electronic Check",14.60884,182.4833,1634.207671,4,2,2,3,3,4,3,4
"3233",3594,"Other","TN","Other",37886,35.74557,-83.80472,"Urban","America/New_York",0,77,48079.33,"Separated","Male","Yes",8.415408,3,2,0,"No","Month-to-month","No","No","Fiber Optic","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Bank Transfer(automatic)",14.75827,182.497,1524.896385,3,2,3,3,4,4,3,3
"3234",3595,"Other","PA","Other",19310,39.93546,-75.96964,"Urban","America/New_York",6,66,14910.59,"Separated","Female","No",12.60775,10,2,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","No","Yes","No","Yes","No","Yes","Bank Transfer(automatic)",12.62769,149.9621,1443.47725,5,6,5,5,4,6,5,4
"3235",3596,"Other","IL","Other",61401,40.94467,-90.38468,"Rural","America/Chicago",1,61,22872.65,"Married","Female","No",5.936265,11,0,0,"No","Two Year","No","No","Fiber Optic","Yes","No","No","No","Yes","No","No","No","Yes","Bank Transfer(automatic)",6.38998,124.9781,599.0290899,3,4,2,3,3,4,4,3
"3236",3597,"Other","IL","Other",60442,41.39275,-87.96353,"Urban","America/Chicago",4,70,31660.74,"Never Married","Female","Yes",11.94572,15,2,1,"No","Month-to-month","No","No","None","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Credit Card (automatic)",23.12261,165.0113,2366.107617,3,2,3,4,4,2,3,1
"3237",3598,"Other","CA","Other",93276,35.29931,-119.3584,"Suburban","America/Los_Angeles",2,34,24031.87,"Divorced","Nonbinary","No",9.04486,12,1,0,"No","One year","Yes","No","None","Yes","No","Yes","No","Yes","No","Yes","No","No","Mailed Check",9.521766,120.0035,1206.904751,4,4,5,2,3,3,4,5
"3238",3599,"Other","TX","Other",75692,32.48038,-94.11629,"Rural","America/Chicago",2,20,35764.01,"Divorced","Female","Yes",11.36004,13,0,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Mailed Check",8.642257,255.1555,1553.215778,4,4,4,2,5,2,2,5
"3239",3600,"Other","KS","Other",66711,37.63589,-94.69538,"Rural","America/Chicago",0,66,9823.4,"Widowed","Female","Yes",8.527507,12,1,0,"No","Month-to-month","No","Yes","None","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Electronic Check",5.760318,197.6288,966.3793761,2,2,4,4,4,3,4,3
"3240",3601,"Other","IA","Other",51545,41.8403,-96.02555,"Suburban","America/Chicago",0,31,25103.37,"Never Married","Female","No",7.705577,8,0,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","Yes","No","No","No","No","Yes","No","Credit Card (automatic)",16.05802,149.9598,1608.519234,3,3,3,4,3,3,3,3
"3241",3603,"Other","VT","Other",5825,44.86231,-72.24567,"Urban","America/New_York",0,75,3492.34,"Separated","Male","Yes",10.19444,10,0,0,"No","Month-to-month","No","No","Fiber Optic","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Mailed Check",10.56737,265.1283,1524.959035,4,4,4,2,5,3,4,4
"3242",3604,"Other","WA","Other",98332,47.365,-122.5989,"Suburban","America/Los_Angeles",2,88,23460.04,"Never Married","Female","No",13.7038,13,0,1,"No","Two Year","No","No","DSL","No","Yes","No","No","Yes","Yes","No","No","No","Credit Card (automatic)",9.570397,149.9928,1291.655399,5,4,4,4,4,4,6,3
"3243",3605,"Other","MI","Wayne",48242,42.212,-83.35258,"Suburban","America/Detroit",4,48,31889.03,"Never Married","Male","No",14.24164,9,1,0,"No","One year","Yes","No","DSL","Yes","No","Yes","No","No","No","Yes","No","Yes","Bank Transfer(automatic)",11.29098,119.9568,1782.001605,4,4,5,3,5,5,5,4
"3244",3606,"Other","OR","Marion",97383,44.79363,-122.7218,"Suburban","America/Los_Angeles",0,74,30213.21,"Married","Nonbinary","No",7.913408,11,0,1,"No","One year","No","No","Fiber Optic","Yes","No","No","No","No","No","Yes","No","No","Credit Card (automatic)",2.407697,137.4392,270.9293518,3,3,3,5,4,4,2,4
"3245",3607,"Other","PA","Montgomery",19468,40.20755,-75.53285,"Rural","America/New_York",1,87,5269.25,"Separated","Female","No",7.10498,13,2,0,"Yes","Month-to-month","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No","No","Yes","Mailed Check",3.962302,117.4686,812.4076078,4,4,3,2,6,2,4,3
"3246",3608,"Other","NY","Other",12565,42.24852,-73.6463,"Urban","America/New_York",1,58,18846.09,"Married","Female","No",12.56004,13,1,0,"No","Two Year","No","Yes","Fiber Optic","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Electronic Check",6.391286,220.1323,1066.249033,4,3,2,3,4,3,3,4
"3247",3609,"Other","PA","Other",19511,40.48469,-75.74379,"Rural","America/New_York",0,49,50538.21,"Widowed","Female","No",9.678927,12,3,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","No","No","Yes","No","No","Electronic Check",16.43691,149.9447,2026.924358,4,4,5,2,5,4,2,2
"3248",3611,"Other","TX","Other",78015,29.74699,-98.6555,"Urban","America/Chicago",2,48,67258,"Separated","Female","Yes",10.36244,14,1,0,"No","Month-to-month","No","Yes","Fiber Optic","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Electronic Check",11.18714,192.4885,1235.76897,2,2,2,4,2,5,4,6
"3249",3612,"Other","MD","Other",21205,39.3023,-76.56447,"Rural","America/New_York",3,52,63089.7,"Married","Male","Yes",8.048411,12,2,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Mailed Check",9.349363,222.65,1512.125761,3,4,4,2,4,3,3,3
"3250",3614,"Other","CA","Other",95130,37.2882,-121.9818,"Urban","America/Los_Angeles",3,88,44238.22,"Widowed","Female","Yes",9.252428,9,0,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","Yes","Yes","No","No","Yes","No","No","Electronic Check",2.368597,162.4526,522.4324646,2,2,2,3,3,3,3,4
"3251",3615,"Other","VT","Other",5143,43.27011,-72.63212,"Urban","America/New_York",4,41,46451.52,"Widowed","Male","Yes",11.48758,10,0,0,"No","Two Year","No","No","DSL","No","Yes","No","No","No","No","Yes","No","No","Electronic Check",1.364515,149.9447,988.3464184,3,3,2,4,4,2,4,3
"3252",3616,"Other","AR","Other",72153,35.64536,-92.32605,"Rural","America/Chicago",0,64,26074.94,"Married","Male","Yes",9.27668,9,1,0,"No","One year","No","Yes","Fiber Optic","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Mailed Check",13.77358,232.6415,1672.058732,4,5,4,5,2,5,5,3
"3253",3617,"Other","NJ","Other",7628,40.94514,-73.99232,"Rural","America/New_York",1,51,28367.56,"Separated","Female","No",10.94208,9,0,0,"No","Two Year","No","No","Fiber Optic","Yes","No","Yes","No","No","No","Yes","No","Yes","Mailed Check",4.415788,139.9568,655.9249473,3,3,4,2,4,1,2,4
"3254",3618,"Other","KY","Other",41075,39.07979,-84.45098,"Rural","America/New_York",4,19,64727.28,"Divorced","Male","No",14.06211,11,0,0,"No","Two Year","No","No","DSL","Yes","No","No","No","No","Yes","No","No","Yes","Bank Transfer(automatic)",5.855481,104.9643,1200.247776,2,1,1,6,3,4,4,5
"3255",3619,"Other","AL","Other",36066,32.47996,-86.42407,"Suburban","America/Chicago",1,56,14224.4,"Widowed","Female","No",11.16205,15,0,0,"No","Two Year","Yes","No","None","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Bank Transfer(automatic)",1.216309,149.989,413.1912075,4,3,5,6,2,6,3,4
"3256",3620,"Other","WA","Other",98303,47.15783,-122.7039,"Urban","America/Los_Angeles",3,64,50015.49,"Divorced","Female","Yes",5.523528,8,2,0,"No","One year","No","Yes","DSL","No","No","No","No","Yes","No","Yes","Yes","No","Bank Transfer(automatic)",3.02742,200.1323,1246.012987,4,4,5,3,4,4,3,3
"3257",3621,"Other","NE","Other",69130,40.88948,-99.95734,"Urban","America/Chicago",0,50,32185.18,"Married","Male","No",8.802883,13,2,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Mailed Check",5.638782,184.9853,932.7790894,3,4,3,4,3,4,4,4
"3258",3622,"Other","SC","Other",29932,32.81838,-81.34757,"Urban","America/New_York",0,80,16494.19,"Married","Female","No",8.43273,17,1,0,"No","One year","Yes","No","Fiber Optic","Yes","No","Yes","Yes","No","No","No","No","No","Electronic Check",9.534696,137.4686,847.6690217,3,2,3,2,3,4,2,4
"3259",3623,"Other","TX","Other",77014,29.9805,-95.46358,"Suburban","America/Chicago",2,19,56844.86,"Never Married","Female","Yes",12.18916,7,2,0,"Yes","Month-to-month","No","No","None","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Electronic Check",15.37783,172.4848,1819.640333,3,3,4,4,3,3,3,1
"3260",3624,"Other","TX","Other",77093,29.86227,-95.341,"Suburban","America/Chicago",5,45,26072.74,"Married","Female","No",12.1069,15,1,0,"No","Two Year","No","No","DSL","Yes","Yes","Yes","No","No","No","Yes","No","No","Electronic Check",3.857792,152.4624,1238.459696,4,4,4,3,3,3,6,5
"3261",3625,"Other","WA","Other",99110,48.01216,-117.5764,"Rural","America/Los_Angeles",2,76,18231.57,"Widowed","Female","Yes",10.52034,11,3,0,"No","Month-to-month","Yes","No","None","Yes","No","No","No","No","No","Yes","Yes","No","Bank Transfer(automatic)",13.57249,175.1331,1541.284939,3,3,3,6,2,4,4,4
"3262",3626,"Other","WA","Other",98263,48.52191,-122.067,"Urban","America/Los_Angeles",0,84,9967.84,"Divorced","Female","Yes",4.199369,9,1,2,"No","Month-to-month","Yes","Yes","None","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Bank Transfer(automatic)",20.89442,220.1615,2210.526102,5,5,4,3,4,4,4,3
"3263",3627,"Other","MS","Other",38826,34.30573,-88.84611,"Urban","America/Chicago",4,30,35924.8,"Never Married","Male","Yes",2.924418,15,3,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","No","No","No","Mailed Check",7.565171,149.9741,1541.0921,3,4,4,4,3,4,6,2
"3264",3629,"Other","PA","Greene",15346,39.93545,-80.0753,"Rural","America/New_York",7,73,50161.62,"Never Married","Female","No",11.09081,12,1,0,"No","Two Year","Yes","No","None","Yes","Yes","Yes","No","No","No","Yes","No","No","Mailed Check",11.62262,139.9861,1430.966496,4,5,4,3,4,4,5,5
"3265",3631,"Other","AR","Other",72847,35.37373,-93.27199,"Rural","America/Chicago",0,44,28020.92,"Never Married","Male","No",9.168597,14,1,1,"No","Month-to-month","No","No","DSL","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Electronic Check",7.567398,139.9875,1282.568064,3,3,3,1,4,3,4,5
"3266",3632,"Other","MA","Other",2747,41.66783,-71.01627,"Suburban","America/New_York",3,74,43471.21,"Separated","Female","Yes",13.65097,10,0,1,"No","One year","No","No","DSL","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Mailed Check",19.49059,235.1555,2709.337012,4,4,4,3,3,4,4,4
"3267",3633,"Other","MS","Other",39423,31.17101,-88.91489,"Urban","America/Chicago",0,64,48188.1,"Never Married","Male","No",10.77322,19,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","No","Yes","No","Credit Card (automatic)",17.39814,159.965,1702.35927,1,2,2,4,2,2,3,3
"3268",3634,"Other","NY","Other",14225,42.92895,-78.75165,"Urban","America/New_York",4,46,40957.31,"Married","Male","Yes",3.977098,14,2,0,"No","Two Year","No","No","None","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Electronic Check",1.273256,245.1612,985.96179,5,5,3,5,3,4,3,3
"3269",3635,"Other","OH","Montgomery",45410,39.74803,-84.15815,"Suburban","America/New_York",6,19,54411.48,"Divorced","Male","Yes",9.078472,14,1,0,"No","One year","No","No","DSL","Yes","No","No","No","Yes","Yes","No","Yes","No","Electronic Check",2.871903,152.4742,1262.175265,3,3,4,2,6,1,2,2
"3270",3636,"Other","OH","Other",44695,40.43674,-81.17831,"Urban","America/New_York",3,88,30261.27,"Separated","Female","No",11.14141,15,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","No","Yes","No","No","Mailed Check",3.443373,137.4392,441.303964,4,4,4,2,4,2,3,4
"3271",3637,"Other","NC","Other",27258,36.03623,-79.32597,"Suburban","America/New_York",1,59,23804.97,"Never Married","Female","Yes",10.1896,11,0,0,"Yes","Month-to-month","Yes","No","None","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",1.110729,210.1518,724.2830732,4,5,4,5,2,6,3,5
"3272",3638,"Other","TN","Other",38115,35.05496,-89.86356,"Suburban","America/Chicago",3,60,15137.08,"Married","Female","No",10.21358,14,2,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Yes","No","Electronic Check",10.45425,179.9476,1143.379552,4,4,4,3,2,3,3,5
"3273",3639,"Other","NY","Other",14145,42.73004,-78.42813,"Suburban","America/New_York",1,41,27953.84,"Widowed","Male","Yes",9.577273,10,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Credit Card (automatic)",3.613491,204.9797,755.3426141,4,3,2,3,3,2,4,3
"3274",3640,"Other","MI","Other",48838,43.18392,-85.25749,"Urban","America/Detroit",4,66,42965.51,"Married","Male","No",7.92766,8,3,0,"No","Two Year","Yes","No","None","Yes","No","Yes","No","No","No","No","Yes","No","Credit Card (automatic)",23.28091,117.4835,2291.020179,4,4,4,1,3,4,5,4
"3275",3641,"Other","ND","Other",58496,47.14748,-99.32907,"Suburban","America/Chicago",0,56,24008.52,"Separated","Female","Yes",14.56157,15,2,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Electronic Check",5.799929,179.9794,702.2310933,3,4,4,4,4,3,3,3
"3276",3642,"Other","IN","Madison",46036,40.29519,-85.83109,"Rural","America/Indiana/Indianapolis",2,24,24799.72,"Separated","Female","No",14.69987,11,1,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","No","Yes","Yes","No","No","No","Electronic Check",3.636783,137.4872,529.8555137,4,4,4,4,2,4,4,2
"3277",3643,"Other","OH","Other",43570,41.58705,-84.44006,"Urban","America/New_York",4,44,29696.18,"Never Married","Male","No",15.15798,11,1,0,"No","One year","Yes","No","None","Yes","No","Yes","No","Yes","No","Yes","No","No","Electronic Check",2.149118,120.0035,717.7031752,4,3,3,3,4,3,3,2
"3278",3644,"Other","NE","Other",68510,40.80653,-96.63596,"Rural","America/Chicago",3,28,47854.43,"Divorced","Male","Yes",11.04991,16,1,1,"No","Month-to-month","No","No","Fiber Optic","No","No","No","No","Yes","Yes","Yes","No","No","Credit Card (automatic)",11.6573,162.4713,1447.576599,3,3,3,4,3,5,4,3
"3279",3645,"Other","CO","Other",81413,38.9572,-107.9549,"Suburban","America/Denver",0,52,22879.56,"Married","Nonbinary","No",12.2544,7,0,0,"No","One year","Yes","Yes","DSL","Yes","No","No","Yes","No","No","No","Yes","No","Bank Transfer(automatic)",4.283128,149.9378,1003.311614,4,5,4,3,4,5,4,3
"3280",3646,"Other","OK","Other",73491,34.4765,-97.65173,"Suburban","America/Chicago",4,19,12002.38,"Married","Female","No",13.54895,10,0,1,"No","Month-to-month","No","Yes","DSL","Yes","No","No","No","No","No","Yes","No","Yes","Electronic Check",18.21715,117.4392,2322.340226,3,3,4,4,3,3,4,2
"3281",3647,"Other","PA","Other",16803,40.80167,-77.89961,"Rural","America/New_York",3,37,17878.4,"Never Married","Female","No",12.14678,11,0,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","No","No","Yes","Yes","No","No","No","Yes","Mailed Check",7.571234,147.4738,930.0652299,4,3,2,2,5,3,3,3
"3282",3648,"Other","AZ","Other",86020,35.99212,-111.5037,"Rural","America/Denver",2,21,71254.24,"Married","Male","Yes",11.303,11,1,1,"No","Month-to-month","No","No","None","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Electronic Check",20.87125,177.6508,2441.911507,2,3,3,3,4,3,1,3
"3283",3650,"Other","CA","Other",95765,38.81861,-121.2781,"Rural","America/Los_Angeles",2,51,1062.32,"Never Married","Male","No",6.742667,14,1,1,"No","Month-to-month","No","No","None","No","No","No","Yes","Yes","Yes","No","No","Yes","Electronic Check",10.86612,127.5067,1209.964607,4,5,4,2,3,5,3,5
"3284",3651,"Other","Other","Other",82831,44.62376,-106.0692,"Urban","America/Denver",1,69,7401.68,"Separated","Male","Yes",5.864437,14,0,0,"No","Month-to-month","No","No","DSL","Yes","No","No","Yes","Yes","No","Yes","No","No","Electronic Check",12.38916,152.4579,1814.711402,4,4,5,5,3,3,4,2
"3285",3652,"Other","AR","Other",72410,35.93353,-91.09786,"Rural","America/Chicago",7,43,15012.17,"Divorced","Female","Yes",9.70902,11,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","No","No","No","No","Credit Card (automatic)",7.934658,147.4783,1031.328337,5,4,4,2,4,3,2,3
"3286",3653,"Other","MN","Other",56260,44.96579,-95.48291,"Suburban","America/Chicago",0,62,5875.82,"Never Married","Male","No",7.912433,11,1,0,"No","One year","No","Yes","Fiber Optic","Yes","Yes","No","No","Yes","No","No","No","No","Mailed Check",23.75492,157.4836,2142.048492,5,5,5,2,4,4,3,3
"3287",3655,"Other","NE","Other",69216,42.9872,-100.9873,"Urban","America/Denver",0,72,29702.84,"Separated","Male","No",7.204886,14,1,1,"No","Two Year","Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","No","No","No","Electronic Check",4.83659,120.0049,980.2047172,4,3,2,3,4,3,3,4
"3288",3656,"Other","CA","Other",93311,35.19414,-119.1744,"Rural","America/Los_Angeles",2,22,46991.33,"Divorced","Male","No",11.70459,14,0,0,"No","Two Year","Yes","No","None","Yes","No","No","No","No","No","No","Yes","Yes","Electronic Check",28.31146,114.9658,2710.699322,4,5,3,4,4,4,3,5
"3289",3658,"Other","OH","Other",43146,39.77433,-83.14164,"Rural","America/New_York",0,71,12174.49,"Married","Female","No",14.81462,11,2,0,"No","Month-to-month","No","No","DSL","Yes","Yes","No","Yes","Yes","No","No","No","No","Bank Transfer(automatic)",10.55165,159.9794,1455.89147,6,5,4,5,2,6,4,4
"3290",3660,"Other","AL","Other",36320,31.05082,-85.31533,"Urban","America/Chicago",6,74,72862.83,"Never Married","Female","No",13.29232,14,0,1,"No","One year","Yes","No","None","Yes","No","No","No","Yes","Yes","Yes","No","No","Credit Card (automatic)",5.317775,129.995,822.6124438,3,3,2,2,5,4,4,4
"3291",3661,"Other","ME","Other",4091,43.83211,-70.75141,"Urban","America/New_York",7,63,23216.52,"Married","Male","No",9.369939,8,1,0,"No","Month-to-month","No","No","None","Yes","No","No","No","Yes","Yes","No","No","Yes","Electronic Check",1.295137,105.011,446.3286395,3,2,3,3,4,3,1,3
"3292",3663,"Other","AZ","Other",85638,31.71507,-110.0509,"Suburban","America/Phoenix",0,36,50827.4,"Never Married","Female","No",5.274854,16,2,1,"No","Two Year","No","No","None","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Bank Transfer(automatic)",7.863565,127.5112,837.2841389,1,2,2,5,3,3,4,4
"3293",3664,"Other","VA","Other",24139,37.01141,-79.47875,"Suburban","America/New_York",1,84,30433.22,"Married","Male","Yes",7.860547,13,3,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Electronic Check",9.321719,162.4833,1419.94259,5,5,5,3,2,5,5,4
"3294",3666,"Other","KS","Other",67657,39.21027,-99.61998,"Rural","America/Chicago",3,88,55271.5,"Divorced","Female","No",11.07053,18,1,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","Yes","No","Yes","No","No","No","Mailed Check",4.278123,147.4601,412.2016012,4,5,4,3,4,4,5,3
"3295",3667,"Other","WA","Other",98108,47.54126,-122.313,"Urban","America/Los_Angeles",0,39,18107.56,"Divorced","Male","No",12.86633,14,0,1,"No","Month-to-month","Yes","Yes","None","Yes","No","No","Yes","No","Yes","No","No","Yes","Bank Transfer(automatic)",5.876252,114.9838,693.7341041,2,2,2,3,5,3,1,2
"3296",3668,"Other","OH","Other",43780,39.91755,-81.43855,"Urban","America/New_York",3,27,60246.56,"Married","Female","No",14.88587,18,0,1,"No","Month-to-month","Yes","No","None","Yes","Yes","No","No","No","No","No","No","No","Electronic Check",4.674127,112.4844,618.2837675,4,3,3,4,3,4,3,5
"3297",3669,"Other","MI","Other",49950,47.38063,-88.11998,"Urban","America/Detroit",2,23,31991.43,"Separated","Female","No",10.94084,10,0,0,"No","Month-to-month","Yes","No","Fiber Optic","No","No","Yes","Yes","No","No","No","No","Yes","Credit Card (automatic)",2.912281,137.4686,553.494246,3,4,4,5,2,5,4,4
"3298",3671,"Other","GA","Other",31784,31.25813,-84.0423,"Rural","America/New_York",7,59,38154.75,"Divorced","Male","No",10.34109,10,0,0,"No","One year","No","No","None","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Electronic Check",5.115763,117.5152,937.3671919,4,4,4,5,2,5,5,4
"3299",3672,"Other","TX","Other",75109,32.04523,-96.35405,"Urban","America/Chicago",4,35,29179.15,"Separated","Male","No",7.449366,13,0,0,"No","Two Year","Yes","No","None","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",3.911083,172.4848,971.4767445,4,3,3,3,3,3,4,5
"3300",3673,"Other","OR","Other",97487,43.9862,-123.3909,"Rural","America/Los_Angeles",0,77,20454.49,"Divorced","Male","Yes",8.80106,12,1,0,"Yes","Month-to-month","No","Yes","DSL","Yes","No","No","No","No","No","Yes","No","No","Credit Card (automatic)",5.096104,117.4392,980.9842958,4,3,4,2,4,3,3,4
"3301",3674,"Other","FL","Other",32097,30.66379,-81.62966,"Urban","America/New_York",1,28,18911.92,"Married","Female","No",3.681734,14,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","No","No","No","No","Yes","No","Mailed Check",2.277916,149.9598,520.0280011,3,4,3,4,2,4,3,4
"3302",3675,"Other","CO","Other",81320,37.72182,-108.7334,"Suburban","America/Denver",2,72,52531.68,"Widowed","Female","No",4.033514,13,1,1,"No","Month-to-month","Yes","No","None","No","Yes","No","No","No","No","No","No","Yes","Bank Transfer(automatic)",11.30129,112.4844,982.9761431,3,2,4,3,3,4,3,4
"3303",3676,"Other","OK","Other",73127,35.47757,-97.6539,"Urban","America/Chicago",0,78,18346.56,"Widowed","Female","No",11.63789,9,1,0,"No","Month-to-month","Yes","No","None","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Mailed Check",33.6803,129.9926,2902.678202,5,4,3,3,3,3,3,3
"3304",3677,"Other","MS","Other",39735,33.34737,-89.18525,"Suburban","America/Chicago",1,80,21741.59,"Married","Female","No",10.03618,12,0,0,"No","Two Year","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No","No","Yes","Credit Card (automatic)",16.66607,117.4686,1876.277402,2,1,1,4,5,2,3,4
"3305",3678,"Other","MI","Other",49713,45.21438,-84.85253,"Urban","America/Detroit",3,44,35306.17,"Widowed","Male","No",7.902938,11,3,0,"Yes","Two Year","No","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",16.15713,169.9378,1767.444722,3,2,3,4,3,5,5,4
"3306",3679,"Other","AR","Other",72060,35.08408,-91.60119,"Suburban","America/Chicago",5,45,30933.38,"Never Married","Male","No",5.692916,8,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Bank Transfer(automatic)",2.976407,204.9634,903.733212,4,4,3,4,3,4,4,4
"3307",3681,"Other","Other","Other",19946,39.03423,-75.45415,"Rural","America/New_York",3,75,22963.6,"Widowed","Male","No",11.96522,5,1,0,"No","One year","Yes","Yes","None","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Mailed Check",13.59261,210.1518,1803.186158,4,3,1,4,3,2,1,3
"3308",3682,"Other","IN","Other",47117,38.10535,-85.97309,"Rural","Other",3,71,33377.2,"Married","Female","Yes",6.789145,9,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Credit Card (automatic)",8.808902,172.4441,1034.993917,3,3,5,4,4,2,3,5
"3309",3683,"Other","FL","Other",33990,26.62789,-81.94331,"Urban","America/New_York",1,57,46339.12,"Separated","Female","No",5.257295,13,0,1,"No","One year","Yes","No","DSL","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Bank Transfer(automatic)",4.560311,162.4653,1097.407168,2,3,3,2,3,3,3,3
"3310",3684,"Other","MT","Other",59030,45.08482,-110.5725,"Suburban","America/Denver",0,78,21918.44,"Widowed","Male","No",8.818958,7,1,0,"Yes","Two Year","No","No","None","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Bank Transfer(automatic)",20.34377,120.0035,1973.92172,4,3,5,5,3,5,4,4
"3311",3685,"Other","TN","Other",37828,36.19797,-84.06905,"Urban","America/New_York",0,63,19384.87,"Separated","Female","No",11.31459,11,1,0,"Yes","Two Year","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","Yes","No","No","Bank Transfer(automatic)",20.86192,149.9621,1943.299733,3,3,3,2,6,2,2,3
"3312",3686,"Other","OR","Other",97835,45.91001,-118.7866,"Urban","America/Los_Angeles",4,71,56728.64,"Divorced","Female","No",10.36633,15,1,1,"No","One year","No","Yes","Fiber Optic","Yes","No","No","Yes","Yes","No","No","Yes","No","Credit Card (automatic)",20.5032,182.4608,2068.674053,4,3,5,5,2,5,4,6
